Column1;Column2;Column3;Column4;Column5;Column6
UTCP-0359;E03 Product Catalog;Amenities;Amenities implementation;Implement functionality for amenities in module E03 Product Catalog.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0360;E03 Product Catalog;Content;Content implementation;Implement functionality for content in module E03 Product Catalog.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0361;E04 Contracting;Contracts;Contracts implementation;Implement functionality for contracts in module E04 Contracting.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0362;E04 Contracting;Seasons;Seasons implementation;Implement functionality for seasons in module E04 Contracting.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0363;E04 Contracting;Rates;Rates implementation;Implement functionality for rates in module E04 Contracting.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0364;E04 Contracting;Supplements;Supplements implementation;Implement functionality for supplements in module E04 Contracting.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0365;E04 Contracting;Restrictions;Restrictions implementation;Implement functionality for restrictions in module E04 Contracting.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0366;E05 Pricing Engine;Pricing rules;Pricing rules implementation;Implement functionality for pricing rules in module E05 Pricing Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0367;E05 Pricing Engine;Discounts;Discounts implementation;Implement functionality for discounts in module E05 Pricing Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0368;E05 Pricing Engine;Occupancy;Occupancy implementation;Implement functionality for occupancy in module E05 Pricing Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0369;E05 Pricing Engine;Promotions;Promotions implementation;Implement functionality for promotions in module E05 Pricing Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0370;E05 Pricing Engine;Validation;Validation implementation;Implement functionality for validation in module E05 Pricing Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0371;E06 Search Engine;Search requests;Search requests implementation;Implement functionality for search requests in module E06 Search Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0372;E06 Search Engine;Filters;Filters implementation;Implement functionality for filters in module E06 Search Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0373;E06 Search Engine;Search logs;Search logs implementation;Implement functionality for search logs in module E06 Search Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0374;E06 Search Engine;Ranking;Ranking implementation;Implement functionality for ranking in module E06 Search Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0375;E06 Search Engine;Caching;Caching implementation;Implement functionality for caching in module E06 Search Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0376;E07 Offer Engine;Offer build;Offer build implementation;Implement functionality for offer build in module E07 Offer Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0377;E07 Offer Engine;Offer pricing;Offer pricing implementation;Implement functionality for offer pricing in module E07 Offer Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0378;E07 Offer Engine;Offer cache;Offer cache implementation;Implement functionality for offer cache in module E07 Offer Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0379;E07 Offer Engine;Reprice;Reprice implementation;Implement functionality for reprice in module E07 Offer Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0380;E07 Offer Engine;Offer ranking;Offer ranking implementation;Implement functionality for offer ranking in module E07 Offer Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0381;E08 Booking Engine;Create booking;Create booking implementation;Implement functionality for create booking in module E08 Booking Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0382;E08 Booking Engine;Passengers;Passengers implementation;Implement functionality for passengers in module E08 Booking Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0383;E08 Booking Engine;Booking items;Booking items implementation;Implement functionality for booking items in module E08 Booking Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0384;E08 Booking Engine;Supplier reservations;Supplier reservations implementation;Implement functionality for supplier reservations in module E08 Booking Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0385;E08 Booking Engine;Cancellation;Cancellation implementation;Implement functionality for cancellation in module E08 Booking Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0386;E09 Reservation Workspace;Overview;Overview implementation;Implement functionality for overview in module E09 Reservation Workspace.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0387;E09 Reservation Workspace;Notes;Notes implementation;Implement functionality for notes in module E09 Reservation Workspace.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0388;E09 Reservation Workspace;Documents;Documents implementation;Implement functionality for documents in module E09 Reservation Workspace.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0389;E09 Reservation Workspace;Flags;Flags implementation;Implement functionality for flags in module E09 Reservation Workspace.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0390;E09 Reservation Workspace;History;History implementation;Implement functionality for history in module E09 Reservation Workspace.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0391;E10 Finance;Receivables;Receivables implementation;Implement functionality for receivables in module E10 Finance.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0392;E10 Finance;Payables;Payables implementation;Implement functionality for payables in module E10 Finance.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0393;E10 Finance;Payments;Payments implementation;Implement functionality for payments in module E10 Finance.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0394;E10 Finance;Refunds;Refunds implementation;Implement functionality for refunds in module E10 Finance.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0395;E10 Finance;Reconciliation;Reconciliation implementation;Implement functionality for reconciliation in module E10 Finance.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0396;E11 Rooming & Capacity;Rooming sets;Rooming sets implementation;Implement functionality for rooming sets in module E11 Rooming & Capacity.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0397;E11 Rooming & Capacity;Room allocation;Room allocation implementation;Implement functionality for room allocation in module E11 Rooming & Capacity.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0398;E11 Rooming & Capacity;Capacity;Capacity implementation;Implement functionality for capacity in module E11 Rooming & Capacity.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0399;E11 Rooming & Capacity;Manifests;Manifests implementation;Implement functionality for manifests in module E11 Rooming & Capacity.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0400;E11 Rooming & Capacity;Exports;Exports implementation;Implement functionality for exports in module E11 Rooming & Capacity.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0401;E12 Operations;Arrivals;Arrivals implementation;Implement functionality for arrivals in module E12 Operations.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0402;E12 Operations;Departures;Departures implementation;Implement functionality for departures in module E12 Operations.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0403;E12 Operations;Transfers;Transfers implementation;Implement functionality for transfers in module E12 Operations.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0404;E12 Operations;Excursions;Excursions implementation;Implement functionality for excursions in module E12 Operations.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0405;E12 Operations;Dispatches;Dispatches implementation;Implement functionality for dispatches in module E12 Operations.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0406;E13 Tour Programs;Programs;Programs implementation;Implement functionality for programs in module E13 Tour Programs.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0407;E13 Tour Programs;Itineraries;Itineraries implementation;Implement functionality for itineraries in module E13 Tour Programs.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0408;E13 Tour Programs;Departures;Departures implementation;Implement functionality for departures in module E13 Tour Programs.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0409;E13 Tour Programs;Guides;Guides implementation;Implement functionality for guides in module E13 Tour Programs.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0410;E13 Tour Programs;Tour pricing;Tour pricing implementation;Implement functionality for tour pricing in module E13 Tour Programs.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0411;E14 Charter Management;Charter seasons;Charter seasons implementation;Implement functionality for charter seasons in module E14 Charter Management.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0412;E14 Charter Management;Flights;Flights implementation;Implement functionality for flights in module E14 Charter Management.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0413;E14 Charter Management;Seats;Seats implementation;Implement functionality for seats in module E14 Charter Management.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0414;E14 Charter Management;Load factor;Load factor implementation;Implement functionality for load factor in module E14 Charter Management.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0415;E14 Charter Management;Charter pricing;Charter pricing implementation;Implement functionality for charter pricing in module E14 Charter Management.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0416;E15 B2B Distribution;Agency login;Agency login implementation;Implement functionality for agency login in module E15 B2B Distribution.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0417;E15 B2B Distribution;Agency pricing;Agency pricing implementation;Implement functionality for agency pricing in module E15 B2B Distribution.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0418;E15 B2B Distribution;Statements;Statements implementation;Implement functionality for statements in module E15 B2B Distribution.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0419;E15 B2B Distribution;Support;Support implementation;Implement functionality for support in module E15 B2B Distribution.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0420;E15 B2B Distribution;API access;API access implementation;Implement functionality for api access in module E15 B2B Distribution.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0421;E16 Communication;Shared inbox;Shared inbox implementation;Implement functionality for shared inbox in module E16 Communication.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0422;E16 Communication;Threads;Threads implementation;Implement functionality for threads in module E16 Communication.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0423;E16 Communication;Templates;Templates implementation;Implement functionality for templates in module E16 Communication.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0424;E16 Communication;Attachments;Attachments implementation;Implement functionality for attachments in module E16 Communication.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0425;E16 Communication;Link to booking;Link to booking implementation;Implement functionality for link to booking in module E16 Communication.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0426;E17 Marketing;Campaigns;Campaigns implementation;Implement functionality for campaigns in module E17 Marketing.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0427;E17 Marketing;Audiences;Audiences implementation;Implement functionality for audiences in module E17 Marketing.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0428;E17 Marketing;Automations;Automations implementation;Implement functionality for automations in module E17 Marketing.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0429;E17 Marketing;Templates;Templates implementation;Implement functionality for templates in module E17 Marketing.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0430;E17 Marketing;Analytics;Analytics implementation;Implement functionality for analytics in module E17 Marketing.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0431;E18 AI Assistant;Ask AI;Ask AI implementation;Implement functionality for ask ai in module E18 AI Assistant.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0432;E18 AI Assistant;Suggestions;Suggestions implementation;Implement functionality for suggestions in module E18 AI Assistant.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0433;E18 AI Assistant;Execution;Execution implementation;Implement functionality for execution in module E18 AI Assistant.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0434;E18 AI Assistant;Token limits;Token limits implementation;Implement functionality for token limits in module E18 AI Assistant.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0435;E18 AI Assistant;AI logs;AI logs implementation;Implement functionality for ai logs in module E18 AI Assistant.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0436;E19 CMS Website;Pages;Pages implementation;Implement functionality for pages in module E19 CMS Website.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0437;E19 CMS Website;SEO metadata;SEO metadata implementation;Implement functionality for seo metadata in module E19 CMS Website.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0438;E19 CMS Website;Redirects;Redirects implementation;Implement functionality for redirects in module E19 CMS Website.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0439;E19 CMS Website;Content blocks;Content blocks implementation;Implement functionality for content blocks in module E19 CMS Website.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0440;E19 CMS Website;Publishing;Publishing implementation;Implement functionality for publishing in module E19 CMS Website.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0441;E20 Regulatory & Fiscal;SEF invoices;SEF invoices implementation;Implement functionality for sef invoices in module E20 Regulatory & Fiscal.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0442;E20 Regulatory & Fiscal;CIS reporting;CIS reporting implementation;Implement functionality for cis reporting in module E20 Regulatory & Fiscal.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0443;E20 Regulatory & Fiscal;Fiscal receipts;Fiscal receipts implementation;Implement functionality for fiscal receipts in module E20 Regulatory & Fiscal.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0444;E20 Regulatory & Fiscal;Sync jobs;Sync jobs implementation;Implement functionality for sync jobs in module E20 Regulatory & Fiscal.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0445;E20 Regulatory & Fiscal;Compliance logs;Compliance logs implementation;Implement functionality for compliance logs in module E20 Regulatory & Fiscal.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0446;E21 Treasury Payments;Supplier payouts;Supplier payouts implementation;Implement functionality for supplier payouts in module E21 Treasury Payments.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0447;E21 Treasury Payments;SEPA transfers;SEPA transfers implementation;Implement functionality for sepa transfers in module E21 Treasury Payments.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0448;E21 Treasury Payments;Card payments;Card payments implementation;Implement functionality for card payments in module E21 Treasury Payments.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0449;E21 Treasury Payments;VCC;VCC implementation;Implement functionality for vcc in module E21 Treasury Payments.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0450;E21 Treasury Payments;Approvals;Approvals implementation;Implement functionality for approvals in module E21 Treasury Payments.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0451;E22 Security;Audit logs;Audit logs implementation;Implement functionality for audit logs in module E22 Security.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0452;E22 Security;Threat detection;Threat detection implementation;Implement functionality for threat detection in module E22 Security.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0453;E22 Security;Access control;Access control implementation;Implement functionality for access control in module E22 Security.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0454;E22 Security;Encryption;Encryption implementation;Implement functionality for encryption in module E22 Security.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0455;E22 Security;Security alerts;Security alerts implementation;Implement functionality for security alerts in module E22 Security.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0456;E23 Monitoring;Health checks;Health checks implementation;Implement functionality for health checks in module E23 Monitoring.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0457;E23 Monitoring;System metrics;System metrics implementation;Implement functionality for system metrics in module E23 Monitoring.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0458;E23 Monitoring;Queue monitoring;Queue monitoring implementation;Implement functionality for queue monitoring in module E23 Monitoring.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0459;E23 Monitoring;Error tracking;Error tracking implementation;Implement functionality for error tracking in module E23 Monitoring.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0460;E23 Monitoring;Alerts;Alerts implementation;Implement functionality for alerts in module E23 Monitoring.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0461;E01 Identity & Access;User management;User management implementation;Implement functionality for user management in module E01 Identity & Access.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0462;E01 Identity & Access;Roles & permissions;Roles & permissions implementation;Implement functionality for roles & permissions in module E01 Identity & Access.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0463;E01 Identity & Access;Authentication;Authentication implementation;Implement functionality for authentication in module E01 Identity & Access.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0464;E01 Identity & Access;API keys;API keys implementation;Implement functionality for api keys in module E01 Identity & Access.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0465;E01 Identity & Access;2FA;2FA implementation;Implement functionality for 2fa in module E01 Identity & Access.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0466;E02 CRM & Accounts;Contacts;Contacts implementation;Implement functionality for contacts in module E02 CRM & Accounts.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0467;E02 CRM & Accounts;Agencies;Agencies implementation;Implement functionality for agencies in module E02 CRM & Accounts.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0468;E02 CRM & Accounts;Suppliers;Suppliers implementation;Implement functionality for suppliers in module E02 CRM & Accounts.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0469;E02 CRM & Accounts;Preferences;Preferences implementation;Implement functionality for preferences in module E02 CRM & Accounts.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0470;E02 CRM & Accounts;Activity log;Activity log implementation;Implement functionality for activity log in module E02 CRM & Accounts.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0471;E03 Product Catalog;Destinations;Destinations implementation;Implement functionality for destinations in module E03 Product Catalog.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0472;E03 Product Catalog;Hotels;Hotels implementation;Implement functionality for hotels in module E03 Product Catalog.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0473;E03 Product Catalog;Rooms;Rooms implementation;Implement functionality for rooms in module E03 Product Catalog.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0474;E03 Product Catalog;Amenities;Amenities implementation;Implement functionality for amenities in module E03 Product Catalog.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0475;E03 Product Catalog;Content;Content implementation;Implement functionality for content in module E03 Product Catalog.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0476;E04 Contracting;Contracts;Contracts implementation;Implement functionality for contracts in module E04 Contracting.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0477;E04 Contracting;Seasons;Seasons implementation;Implement functionality for seasons in module E04 Contracting.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0478;E04 Contracting;Rates;Rates implementation;Implement functionality for rates in module E04 Contracting.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0479;E04 Contracting;Supplements;Supplements implementation;Implement functionality for supplements in module E04 Contracting.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0480;E04 Contracting;Restrictions;Restrictions implementation;Implement functionality for restrictions in module E04 Contracting.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0481;E05 Pricing Engine;Pricing rules;Pricing rules implementation;Implement functionality for pricing rules in module E05 Pricing Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0482;E05 Pricing Engine;Discounts;Discounts implementation;Implement functionality for discounts in module E05 Pricing Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0483;E05 Pricing Engine;Occupancy;Occupancy implementation;Implement functionality for occupancy in module E05 Pricing Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0484;E05 Pricing Engine;Promotions;Promotions implementation;Implement functionality for promotions in module E05 Pricing Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0485;E05 Pricing Engine;Validation;Validation implementation;Implement functionality for validation in module E05 Pricing Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0486;E06 Search Engine;Search requests;Search requests implementation;Implement functionality for search requests in module E06 Search Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0487;E06 Search Engine;Filters;Filters implementation;Implement functionality for filters in module E06 Search Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0488;E06 Search Engine;Search logs;Search logs implementation;Implement functionality for search logs in module E06 Search Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0489;E06 Search Engine;Ranking;Ranking implementation;Implement functionality for ranking in module E06 Search Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0490;E06 Search Engine;Caching;Caching implementation;Implement functionality for caching in module E06 Search Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0491;E07 Offer Engine;Offer build;Offer build implementation;Implement functionality for offer build in module E07 Offer Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0492;E07 Offer Engine;Offer pricing;Offer pricing implementation;Implement functionality for offer pricing in module E07 Offer Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0493;E07 Offer Engine;Offer cache;Offer cache implementation;Implement functionality for offer cache in module E07 Offer Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0494;E07 Offer Engine;Reprice;Reprice implementation;Implement functionality for reprice in module E07 Offer Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0495;E07 Offer Engine;Offer ranking;Offer ranking implementation;Implement functionality for offer ranking in module E07 Offer Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0496;E08 Booking Engine;Create booking;Create booking implementation;Implement functionality for create booking in module E08 Booking Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0497;E08 Booking Engine;Passengers;Passengers implementation;Implement functionality for passengers in module E08 Booking Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0498;E08 Booking Engine;Booking items;Booking items implementation;Implement functionality for booking items in module E08 Booking Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0499;E08 Booking Engine;Supplier reservations;Supplier reservations implementation;Implement functionality for supplier reservations in module E08 Booking Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0500;E08 Booking Engine;Cancellation;Cancellation implementation;Implement functionality for cancellation in module E08 Booking Engine.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0501;E09 Reservation Workspace;Overview;Overview implementation;Implement functionality for overview in module E09 Reservation Workspace.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0502;E09 Reservation Workspace;Notes;Notes implementation;Implement functionality for notes in module E09 Reservation Workspace.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0503;E09 Reservation Workspace;Documents;Documents implementation;Implement functionality for documents in module E09 Reservation Workspace.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0504;E09 Reservation Workspace;Flags;Flags implementation;Implement functionality for flags in module E09 Reservation Workspace.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0505;E09 Reservation Workspace;History;History implementation;Implement functionality for history in module E09 Reservation Workspace.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0506;E10 Finance;Receivables;Receivables implementation;Implement functionality for receivables in module E10 Finance.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0507;E10 Finance;Payables;Payables implementation;Implement functionality for payables in module E10 Finance.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0508;E10 Finance;Payments;Payments implementation;Implement functionality for payments in module E10 Finance.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0509;E10 Finance;Refunds;Refunds implementation;Implement functionality for refunds in module E10 Finance.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0510;E10 Finance;Reconciliation;Reconciliation implementation;Implement functionality for reconciliation in module E10 Finance.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0511;E11 Rooming & Capacity;Rooming sets;Rooming sets implementation;Implement functionality for rooming sets in module E11 Rooming & Capacity.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0512;E11 Rooming & Capacity;Room allocation;Room allocation implementation;Implement functionality for room allocation in module E11 Rooming & Capacity.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0513;E11 Rooming & Capacity;Capacity;Capacity implementation;Implement functionality for capacity in module E11 Rooming & Capacity.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0514;E11 Rooming & Capacity;Manifests;Manifests implementation;Implement functionality for manifests in module E11 Rooming & Capacity.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0515;E11 Rooming & Capacity;Exports;Exports implementation;Implement functionality for exports in module E11 Rooming & Capacity.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0516;E12 Operations;Arrivals;Arrivals implementation;Implement functionality for arrivals in module E12 Operations.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0517;E12 Operations;Departures;Departures implementation;Implement functionality for departures in module E12 Operations.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0518;E12 Operations;Transfers;Transfers implementation;Implement functionality for transfers in module E12 Operations.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0519;E12 Operations;Excursions;Excursions implementation;Implement functionality for excursions in module E12 Operations.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0520;E12 Operations;Dispatches;Dispatches implementation;Implement functionality for dispatches in module E12 Operations.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0521;E13 Tour Programs;Programs;Programs implementation;Implement functionality for programs in module E13 Tour Programs.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0522;E13 Tour Programs;Itineraries;Itineraries implementation;Implement functionality for itineraries in module E13 Tour Programs.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0523;E13 Tour Programs;Departures;Departures implementation;Implement functionality for departures in module E13 Tour Programs.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
UTCP-0524;E13 Tour Programs;Guides;Guides implementation;Implement functionality for guides in module E13 Tour Programs.;"Feature implemented; validation rules applied; audit log written; API endpoint exposed."
